Date,Exercise,Sets,Reps,Weight,isWarmup,Note
2019-02-13,Chin Up,1,5,0,,
2019-02-13,Chin Up,1,7,0,,
2019-02-13,Chin Up,1,4,0,,
2019-02-13,Biceps Curl To Shoulder Press,1,13,6.803893642,,
2019-02-13,Biceps Curl To Shoulder Press,1,12,6.803893642,,
2019-02-13,Biceps Curl To Shoulder Press,1,9,6.803893642,,
2019-02-13,Lat Pulldown,1,12,40.82336185,,
2019-02-13,Lat Pulldown,1,12,40.82336185,,
2019-02-13,Lat Pulldown,1,12,40.82336185,,
2019-02-13,Zottman Curl,1,9,6.803893642,,
2019-02-13,Zottman Curl,1,10,6.803893642,,
2019-02-13,Zottman Curl,1,13,4.535929094,,
2019-02-13,Dumbbell Row,1,10,20.41168092,,
2019-02-13,Dumbbell Row,1,13,15.87575183,,
2019-02-13,Dumbbell Row,1,13,15.87575183,,
2019-02-13,Concentration Curls,1,6,9.071858189,,
2019-02-13,Concentration Curls,1,7,9.071858189,,
2019-02-13,Concentration Curls,1,8,9.071858189,,
2019-02-12,Seated Triceps Press,1,6,18.14371638,,
2019-02-12,Seated Triceps Press,1,6,18.14371638,,
2019-02-12,Seated Triceps Press,1,7,18.14371638,,
2019-02-12,Dumbbell Incline Bench Press,1,12,18.14371638,,
2019-02-12,Dumbbell Incline Bench Press,1,12,18.14371638,,
2019-02-12,Dumbbell Incline Bench Press,1,8,18.14371638,,
2019-02-12,Dumbbell Pullover,1,10,18.14371638,,
2019-02-12,Dumbbell Pullover,1,6,18.14371638,,
2019-02-12,Dumbbell Pullover,1,8,18.14371638,,
2019-02-12,Arnold Dumbbell Press,1,12,9.071858189,,
2019-02-12,Arnold Dumbbell Press,1,12,9.071858189,,
2019-02-12,Arnold Dumbbell Press,1,10,9.071858189,,
2019-02-12,Dumbbell Rear Delt Raise,1,8,9.071858189,,
2019-02-12,Dumbbell Rear Delt Raise,1,8,9.071858189,,
2019-02-12,Dumbbell Rear Delt Raise,1,8,9.071858189,,
2019-02-12,Dumbbell Rear Delt Raise,1,8,9.071858189,,
2019-02-12,Dumbbell Fly,1,10,9.071858189,,
2019-02-12,Dumbbell Fly,1,10,9.071858189,,
2019-02-12,Dumbbell Fly,1,10,9.071858189,,
2019-02-12,Dumbbell Fly,1,10,9.071858189,,
2019-02-12,Dumbbell Fly,1,12,9.071858189,,
2019-02-12,Stability Ball Hyperextension,1,10,0,,
2019-02-12,Stability Ball Hyperextension,1,11,0,,
2019-02-12,Stability Ball Hyperextension,1,12,0,,
2019-02-12,Leg Raise,1,15,0,,
2019-02-12,Leg Raise,1,15,0,,
2019-02-12,Leg Raise,1,15,0,,
2019-02-12,Scissor Kick,1,15,0,,
2019-02-12,Scissor Kick,1,17,0,,
2019-02-12,Scissor Kick,1,20,0,,
2019-02-12,Machine Bench Press,1,8,29.48353911,TRUE,
2019-02-12,Machine Bench Press,1,4,49.89522004,,
2019-02-12,Machine Bench Press,1,6,40.82336185,,
2019-02-12,Machine Bench Press,1,7,38.5553973,,
2019-02-09,Back Squat,1,10,20.41168092,TRUE,
2019-02-09,Back Squat,1,8,38.5553973,TRUE,
2019-02-09,Back Squat,1,5,61.23504277,,
2019-02-09,Back Squat,1,5,61.23504277,,
2019-02-09,Back Squat,1,8,61.23504277,,
2019-02-09,Back Squat,1,5,65.77097187,,
2019-02-09,Back Squat,1,6,65.77097187,,
2019-02-09,Deadlift,1,10,20.41168092,TRUE,
2019-02-09,Deadlift,1,5,79.37875915,,
2019-02-09,Deadlift,1,5,79.37875915,,
2019-02-09,Deadlift,1,5,70.30690096,,
2019-02-09,Deadlift,1,5,70.30690096,,
2019-02-09,Deadlift,1,5,70.30690096,,
2019-02-09,Leg Press,1,9,95.25451098,,
2019-02-09,Leg Press,1,10,90.71858189,,
2019-02-09,Leg Press,1,10,86.18265279,,
2019-02-09,Leg Press,1,10,81.6467237,,
2019-02-09,Leg Press,1,10,77.1107946,,
2019-02-09,Calf Press,1,12,40.82336185,,
2019-02-09,Calf Press,1,12,45.35929094,,
2019-02-09,Calf Press,1,12,45.35929094,,
2019-02-09,Calf Press,1,10,45.35929094,,
2019-02-09,Calf Press,1,12,54.43114913,,
2019-02-09,Push Up,1,10,0,,
2019-02-08,Toe Touchers,1,15,0,,
2019-02-08,Toe Touchers,1,10,0,,
2019-02-08,Toe Touchers,1,10,0,,
2019-02-08,Oblique Crunch,1,8,0,,
2019-02-08,Oblique Crunch,1,7,0,,
2019-02-08,Oblique Crunch,1,8,0,,
2019-02-08,Tuck Crunch,1,5,0,,
2019-02-08,Tuck Crunch,1,5,0,,
2019-02-08,Tuck Crunch,1,3,0,,
2019-02-08,Scissor Crossover Kick,1,20,0,,
2019-02-08,Scissor Crossover Kick,1,20,0,,
2019-02-08,Scissor Crossover Kick,1,20,0,,
2019-02-08,Reverse Crunch,1,10,0,,
2019-02-08,Reverse Crunch,1,10,0,,
2019-02-08,Reverse Crunch,1,10,0,,
2019-02-08,Scissor Kick,1,15,0,,
2019-02-08,Scissor Kick,1,15,0,,
2019-02-08,Scissor Kick,1,15,0,,
2019-02-07,Barbell Curl,1,8,24.94761002,,
2019-02-07,Barbell Curl,1,8,24.94761002,,
2019-02-07,Barbell Curl,1,6,22.67964547,,
2019-02-07,Barbell Curl,1,9,20.41168092,,
2019-02-07,Dumbbell Skullcrusher,1,13,6.803893642,,
2019-02-07,Dumbbell Skullcrusher,1,12,6.803893642,,
2019-02-07,Dumbbell Skullcrusher,1,9,6.803893642,,
2019-02-07,Dumbbell Skullcrusher,1,10,6.803893642,,
2019-02-07,Hammer Curls,1,8,11.33982274,,
2019-02-07,Hammer Curls,1,9,11.33982274,,
2019-02-07,Hammer Curls,1,10,9.071858189,,
2019-02-07,Hammer Curls,1,8,9.071858189,,
2019-02-07,Tricep Pushdown,1,10,24.94761002,,
2019-02-07,Tricep Pushdown,1,8,24.94761002,,
2019-02-07,Tricep Pushdown,1,8,21.5456632,,
2019-02-07,Tricep Pushdown,1,8,21.5456632,,
2019-02-07,Tricep Pushdown,1,10,18.14371638,,
2019-02-07,Single Arm Cable Bicep Curl,1,10,6.803893642,,
2019-02-07,Cable Double Bicep Curl,1,10,6.803893642,,
2019-02-07,Cable Double Bicep Curl,1,10,6.803893642,,
2019-02-07,Cable Double Bicep Curl,1,9,6.803893642,,
2019-02-07,Seated Triceps Press,1,8,15.87575183,,
2019-02-07,Seated Triceps Press,1,8,15.87575183,,
2019-02-07,Seated Triceps Press,1,8,15.87575183,,
2019-02-07,Seated Triceps Press,1,10,13.60778728,,
2019-02-06,Barbell Shoulder Press,1,10,20.41168092,TRUE,
2019-02-06,Barbell Shoulder Press,1,6,34.01946821,,
2019-02-06,Barbell Shoulder Press,1,6,34.01946821,,
2019-02-06,Barbell Shoulder Press,1,6,34.01946821,,
